Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,7.830800,7.830800,7.830800,7.830800,7.830800,0
2020-06-09,7.794100,7.794100,7.794100,7.794100,7.794100,0
2020-06-10,7.787500,7.787500,7.787500,7.787500,7.787500,0
2020-06-11,7.546200,7.546200,7.546200,7.546200,7.546200,0
2020-06-12,7.618400,7.618400,7.618400,7.618400,7.618400,0
2020-06-15,7.635200,7.635200,7.635200,7.635200,7.635200,0
2020-06-16,7.720900,7.720900,7.720900,7.720900,7.720900,0
2020-06-17,7.724500,7.724500,7.724500,7.724500,7.724500,0
2020-06-18,7.737100,7.737100,7.737100,7.737100,7.737100,0
2020-06-19,7.724300,7.724300,7.724300,7.724300,7.724300,0
2020-06-22,7.730500,7.730500,7.730500,7.730500,7.730500,0
2020-06-23,7.768800,7.768800,7.768800,7.768800,7.768800,0
2020-06-24,7.661700,7.661700,7.661700,7.661700,7.661700,0
2020-06-25,7.731700,7.731700,7.731700,7.731700,7.731700,0
2020-06-26,7.629700,7.629700,7.629700,7.629700,7.629700,0
2020-06-29,7.692600,7.692600,7.692600,7.692600,7.692600,0
2020-06-30,7.722100,7.722100,7.722100,7.722100,7.722100,0
2020-07-02,7.792000,7.792000,7.792000,7.792000,7.792000,0
2020-07-03,7.787300,7.787300,7.787300,7.787300,7.787300,0
2020-07-06,7.874700,7.874700,7.874700,7.874700,7.874700,0
2020-07-07,7.845200,7.845200,7.845200,7.845200,7.845200,0
2020-07-08,7.853200,7.853200,7.853200,7.853200,7.853200,0
2020-07-09,7.860800,7.860800,7.860800,7.860800,7.860800,0
2020-07-10,7.905600,7.905600,7.905600,7.905600,7.905600,0
2020-07-13,7.855200,7.855200,7.855200,7.855200,7.855200,0
2020-07-14,7.944800,7.944800,7.944800,7.944800,7.944800,0
2020-07-15,7.969700,7.969700,7.969700,7.969700,7.969700,0
2020-07-16,7.968600,7.968600,7.968600,7.968600,7.968600,0
2020-07-17,8.009600,8.009600,8.009600,8.009600,8.009600,0
2020-07-20,8.047500,8.047500,8.047500,8.047500,8.047500,0
2020-07-21,8.021600,8.021600,8.021600,8.021600,8.021600,0
2020-07-22,8.026200,8.026200,8.026200,8.026200,8.026200,0
2020-07-23,7.960600,7.960600,7.960600,7.960600,7.960600,0
2020-07-24,7.940900,7.940900,7.940900,7.940900,7.940900,0
2020-07-27,7.979200,7.979200,7.979200,7.979200,7.979200,0
2020-07-28,7.958800,7.958800,7.958800,7.958800,7.958800,0
2020-07-29,8.014500,8.014500,8.014500,8.014500,8.014500,0
2020-07-30,8.034800,8.034800,8.034800,8.034800,8.034800,0
2020-07-31,7.982300,7.982300,7.982300,7.982300,7.982300,0
2020-08-04,8.034000,8.034000,8.034000,8.034000,8.034000,0
2020-08-05,8.074000,8.074000,8.074000,8.074000,8.074000,0
2020-08-06,8.111300,8.111300,8.111300,8.111300,8.111300,0
2020-08-07,8.122000,8.122000,8.122000,8.122000,8.122000,0
2020-08-10,8.114900,8.114900,8.114900,8.114900,8.114900,0
2020-08-11,8.065800,8.065800,8.065800,8.065800,8.065800,0
2020-08-12,8.124900,8.124900,8.124900,8.124900,8.124900,0
2020-08-13,8.099600,8.099600,8.099600,8.099600,8.099600,0
2020-08-14,8.099100,8.099100,8.099100,8.099100,8.099100,0
2020-08-17,8.119900,8.119900,8.119900,8.119900,8.119900,0
2020-08-18,8.120300,8.120300,8.120300,8.120300,8.120300,0
2020-08-19,8.110000,8.110000,8.110000,8.110000,8.110000,0
2020-08-20,8.101200,8.101200,8.101200,8.101200,8.101200,0
2020-08-21,8.099300,8.099300,8.099300,8.099300,8.099300,0
2020-08-24,8.167200,8.167200,8.167200,8.167200,8.167200,0
2020-08-25,8.160800,8.160800,8.160800,8.160800,8.160800,0
2020-08-26,8.209000,8.209000,8.209000,8.209000,8.209000,0
2020-08-27,8.182200,8.182200,8.182200,8.182200,8.182200,0
2020-08-28,8.200800,8.200800,8.200800,8.200800,8.200800,0
2020-08-31,8.131500,8.131500,8.131500,8.131500,8.131500,0
2020-09-01,8.180900,8.180900,8.180900,8.180900,8.180900,0
2020-09-02,8.259200,8.259200,8.259200,8.259200,8.259200,0
2020-09-03,8.106200,8.106200,8.106200,8.106200,8.106200,0
2020-09-04,8.022000,8.022000,8.022000,8.022000,8.022000,0
2020-09-08,7.987700,7.987700,7.987700,7.987700,7.987700,0
2020-09-09,8.063700,8.063700,8.063700,8.063700,8.063700,0
2020-09-10,7.986600,7.986600,7.986600,7.986600,7.986600,0
2020-09-11,8.010500,8.010500,8.010500,8.010500,8.010500,0
2020-09-14,8.070200,8.070200,8.070200,8.070200,8.070200,0
2020-09-15,8.120800,8.120800,8.120800,8.120800,8.120800,0
2020-09-16,8.086700,8.086700,8.086700,8.086700,8.086700,0
2020-09-17,8.052200,8.052200,8.052200,8.052200,8.052200,0
2020-09-18,8.018100,8.018100,8.018100,8.018100,8.018100,0
2020-09-21,7.972400,7.972400,7.972400,7.972400,7.972400,0
2020-09-22,8.016500,8.016500,8.016500,8.016500,8.016500,0
2020-09-23,7.926300,7.926300,7.926300,7.926300,7.926300,0
2020-09-24,7.925900,7.925900,7.925900,7.925900,7.925900,0
2020-09-25,8.006000,8.006000,8.006000,8.006000,8.006000,0
2020-09-28,8.088800,8.088800,8.088800,8.088800,8.088800,0
2020-09-29,8.079300,8.079300,8.079300,8.079300,8.079300,0
2020-09-30,8.064300,8.064300,8.064300,8.064300,8.064300,0
2020-10-01,8.080400,8.080400,8.080400,8.080400,8.080400,0
2020-10-02,8.055700,8.055700,8.055700,8.055700,8.055700,0
2020-10-05,8.138500,8.138500,8.138500,8.138500,8.138500,0
2020-10-06,8.088400,8.088400,8.088400,8.088400,8.088400,0
2020-10-07,8.159600,8.159600,8.159600,8.159600,8.159600,0
2020-10-08,8.175500,8.175500,8.175500,8.175500,8.175500,0
2020-10-09,8.189100,8.189100,8.189100,8.189100,8.189100,0
2020-10-13,8.225700,8.225700,8.225700,8.225700,8.225700,0
2020-10-14,8.196500,8.196500,8.196500,8.196500,8.196500,0
2020-10-15,8.204800,8.204800,8.204800,8.204800,8.204800,0
2020-10-16,8.202900,8.202900,8.202900,8.202900,8.202900,0
2020-10-19,8.124700,8.124700,8.124700,8.124700,8.124700,0
